Symbol;Name;LastSale;MarketCap;ADR TSO;IPOyear;Sector;Industry;Summary Quote
ACBI;Atlantic Capital Bancshares, Inc.;18.2;464749594.40000004;;;Finance;Major Banks;http://www.nasdaq.com/symbol/acbi
PYDS;Payment Data Systems, Inc.;1.299;15642750.252000002;;;Finance;Investment Bankers/Brokers/Service;http://www.nasdaq.com/symbol/pyds
TAYD;Taylor Devices, Inc.;13.9;47695236.8;;;Capital Goods;Industrial Machinery/Components;http://www.nasdaq.com/symbol/tayd
CHI;Calamos Convertible Opportunities and Income Fund;10.76;753172960.12;;2002;;;http://www.nasdaq.com/symbol/chi
CVV;CVD Equipment Corporation;9.98;63115316.4;;;Technology;Industrial Machinery/Components;http://www.nasdaq.com/symbol/cvv
RFAP;First Trust RiverFront Dynamic Asia Pacific ETF;55.14;8271110.28;;;;;http://www.nasdaq.com/symbol/rfap
HFBL;Home Federal Bancorp, Inc. of Louisiana;28.95;56556691.050000004;;;Finance;Savings Institutions;http://www.nasdaq.com/symbol/hfbl
SCZ;iShares MSCI EAFE Small-Cap ETF;54.19;7272298000.0;;;;;http://www.nasdaq.com/symbol/scz
HIFS;Hingham Institution for Savings;173.59;370224072.5;;;;;http://www.nasdaq.com/symbol/hifs
OPHT;Ophthotech Corporation;3.5300000000000002;126403800.26;;2013;Health Care;Major Pharmaceuticals;http://www.nasdaq.com/symbol/opht
BUFF;Blue Buffalo Pet Products, Inc.;23.37;4593365110.17;;2015;Consumer Non-Durables;Packaged Foods;http://www.nasdaq.com/symbol/buff
CRUS;Cirrus Logic, Inc.;60.06;3857771037.12;;1989;Technology;Semiconductors;http://www.nasdaq.com/symbol/crus
PRTS;U.S. Auto Parts Network, Inc.;3.26;112654590.97999999;;2007;Consumer Services;Other Specialty Stores;http://www.nasdaq.com/symbol/prts
UNB;Union Bankshares, Inc.;42.3;188748310.5;;;Finance;Major Banks;http://www.nasdaq.com/symbol/unb
VTWV;Vanguard Russell 2000 Value ETF;99.98;169966000.00000003;;;;;http://www.nasdaq.com/symbol/vtwv
CBPO;China Biologic Products, Inc.;99.51;2705157457.7999997;;;Health Care;Biotechnology: Biological Products (No Diagnostic Substances);http://www.nasdaq.com/symbol/cbpo
CIGI;Colliers International Group Inc.;47.65;1778522765.05;;;Finance;Real Estate;http://www.nasdaq.com/symbol/cigi
CFMS;ConforMIS, Inc.;4.86;212965880.4;;2015;Health Care;Industrial Specialties;http://www.nasdaq.com/symbol/cfms
CRAI;CRA International,Inc.;34.35;293457889.5;;1998;Miscellaneous;Other Consumer Services;http://www.nasdaq.com/symbol/crai
MEET;MeetMe, Inc.;5.25;313008181.5;;;Consumer Services;Advertising;http://www.nasdaq.com/symbol/meet
SPAN;Span-America Medical Systems, Inc.;21.4;58970375.0;;1983;Health Care;Industrial Specialties;http://www.nasdaq.com/symbol/span
ABY;Atlantica Yield plc;21.48;2152666744.7999997;;2014;Public Utilities;Electric Utilities: Central;http://www.nasdaq.com/symbol/aby
ESCA;Escalade, Incorporated;12.75;182413727.25;;;Consumer Non-Durables;Recreational Products/Toys;http://www.nasdaq.com/symbol/esca
HOLI;Hollysys Automation Technologies, Ltd.;16.8;1012361263.2;;;Energy;Industrial Machinery/Components;http://www.nasdaq.com/symbol/holi
SNBC;Sun Bancorp, Inc.;23.45;444763979.45;;;Finance;Commercial Banks;http://www.nasdaq.com/symbol/snbc
